group_sha,source,n_inc,n_dec,n_items,auto_type,negation_present,jaccard_mean,entity_overlap_mean,evidence_seen_in_discovery600,inc_item_ids,dec_item_ids,evidence
00138ae21b,fever,1,1,2,indirect_contradiction,no,0.5,1.0,False,g24a_fever_22255,g24a_fever_64226,"Khurana made his Bollywood debut with Aamir Khan's ""Dangal""."
001f8d67b9,fever,3,2,5,indirect_contradiction,no,0.4519,1.0,False,"g24a_fever_102019,g24a_fever_31728,g24a_fever_56186","g24a_fever_86752,g24a_fever_96262","Around the world, criteria, structure, teaching methodology, and nature of medical programs offered at medical schools vary considerably."
00246702d1,fever,1,1,2,explicit_negation,yes,0.4,1.0,False,g24a_fever_185301,g24a_fever_185287,"Bradley ""Brad"" Fuller is an American film and television producer."
004b141eb2,fever,2,5,7,indirect_contradiction,no,0.3776,0.6,True,"g24a_fever_162202,g24a_fever_162212","g24a_fever_162200,g24a_fever_162205,g24a_fever_162213,g24a_fever_162216,g24a_fever_162218","Ding Yanyuhang (alternate spelling: Yan Yu Hang) (, born August 20, 1993) is a Chinese professional basketball player."
00621c9031,fever,2,1,3,explicit_negation,yes,0.2426,0.4286,False,"g24a_fever_119493,g24a_fever_129710",g24a_fever_108107,"After the Nazi Seizure of Power in 1933, Goebbels' Propaganda Ministry quickly gained and exerted controlling supervision over the news media, arts, and information in Germany."
006bf832fd,fever,2,2,4,explicit_negation,yes,0.3016,0.25,False,"g24a_fever_156943,g24a_fever_57524","g24a_fever_134346,g24a_fever_149492","The BBC announced on 6 July 2016, before series 2 had begun, that a third series had been commissioned."
00841214f7,fever,5,6,11,exclusive_alternative,no,0.3199,0.5067,False,"g24a_fever_198532,g24a_fever_198534,g24a_fever_198537,g24a_fever_198552,g24a_fever_198558","g24a_fever_198538,g24a_fever_198541,g24a_fever_198544,g24a_fever_198554,g24a_fever_198559,g24a_fever_198565","Catherine Hardwicke (born Helen Catherine Hardwicke;) is an American film director, production designer and screenwriter."
00b32b76ab,scifact,1,1,2,explicit_negation,yes,0.75,1.0,False,g24a_scifact_766,g24a_scifact_765,"Orlistat reduced the incidence of diabetes and improved concentrations of total cholesterol and low density lipoprotein cholesterol, blood pressure, and glycaemic control in patients with diabetes but increased rates of gastrointestinal side effects and slightly lowered concentrations of high density lipoprotein. Sibutramine improved [corrected] concentrations of high density lipoprotein cholesterol and triglycerides [corrected] Rimonabant improved concentrations of high density lipoprotein cholesterol and triglycerides, blood pressure, and glycaemic control in patients with diabetes but increased the risk of mood disorders. CONCLUSIONS Orlistat, sibutramine, and rimonabant modestly reduce weight, have differing effects on cardiovascular risk profiles, and have specific adverse effects."
00d4b7d89b,fever,2,2,4,indirect_contradiction,no,0.2917,1.0,False,"g24a_fever_108208,g24a_fever_2389","g24a_fever_55041,g24a_fever_88361","The Times is a British daily (Monday to Saturday) national newspaper based in London, England."
01bd172aee,fever,8,4,12,numeric_value,no,0.3171,0.9583,True,"g24a_fever_100243,g24a_fever_13327,g24a_fever_33377,g24a_fever_41728,g24a_fever_5241,g24a_fever_57577,g24a_fever_8148,g24a_fever_8149","g24a_fever_130998,g24a_fever_135150,g24a_fever_142765,g24a_fever_155639","Kung Fu Panda opened in 4,114 theaters, grossing $20.3 million on its opening day and $60.2 million on its opening weekend, resulting in the number one position at the box office."
01df2d47f2,fever,1,1,2,indirect_contradiction,no,0.625,0.2,False,g24a_fever_70780,g24a_fever_99974,"Mirny was a 20-gun sloop-of-war of the Imperial Russian Navy, the second ship of the First Russian Antarctic Expedition in 1819 -- 1821, during which Faddey Bellingshausen (commander of the lead ship Vostok) and Mikhail Lazarev (commanding Mirny) circumnavigated the globe, discovered the continent of Antarctica and twice circumnavigated it, and discovered a number of islands and archipelagos in the Southern Ocean and the Pacific. The Imperial Russian Navy was the navy of the Russian Empire."
