seed_rank,active_200,cfb_id,case_id,split,first_lineno,page,claim_sha,claim,evidence_s,evidence_r
280,no,g24cfb_280,5ec284ffc9e77c0008417d4c,train,65451,Anubis,174908607e82,Ancient Egyptian texts about Anubis refer to the deity as having a dog 's head .,"Furthermore ancient Egyptian texts about Anubis constantly refer to the deity as having a dog 's head , not jackal or wolf , and there is still uncertainty as to what canid represents Anubis .","Furthermore ancient Greek texts about Anubis constantly refer to the deity as having a dog 's head , not jackal or wolf , and there is still uncertainty as to what canid represents Anubis ."
281,no,g24cfb_281,5eb29884c9e77c0008d924b9,train,9770,Devin Smith -LRB-American football-RRB-,a23dd9a444b7,Devin Smith is a player for the New York Jest .,"Devin Smith ( born March 3 , 1992 ) is an American football wide receiver for the New York Jets of the National Football League ( NFL ) .","Devin Smith ( born March 3 , 1992 ) is an American football wide receiver who is currently a free agent ."
282,no,g24cfb_282,5ec284fec9e77c00084177c2,train,99538,Receptor -LRB-biochemistry-RRB-,cb0bec5303d8,Receptors are isolated from cell membranes .,"Receptors are isolated from cell membranes by complex extraction procedures using solvents , detergents , and/or affinity purification.","Membrane receptors are isolated from cell membranes by complex extraction procedures using solvents , detergents , and/or affinity purification."
283,no,g24cfb_283,5ebe6f2ec9e77c0008407d09,test,5528,The Walking Dead-COLON- A New Frontier,9ee3164b8cb0,The Walking Dead : A New Frontier received positive reviews .,"The Walking Dead : A New Frontier received positive reviews with many critics praising its new cast of characters , action sequences , updated graphics , and its new direction in its storytelling , although many have criticized the short episode lengths and the treatment of the Season Two endings.","The Walking Dead : A New Frontier received mixed reviews with many critics praising its new cast of characters , action sequences , updated graphics , and its new direction in its storytelling , although many have criticized the short episode lengths and the treatment of the Season Two endings."
284,no,g24cfb_284,5ec7d50dc9e77c00084420f4,train,176296,Rise of the Planet of the Apes,f853b697e170,The character Koba from the film Rise of the Planet of the Apes is an ape .,"After attempting to test the drug on Koba , an elder ape who had been a test subject his whole life , Franklin becomes exposed to the new drug and becomes ill .","After attempting to test the drug on Koba , a bonobo who had been a test subject his whole life , Franklin becomes exposed to the new drug and becomes ill ."
285,no,g24cfb_285,5ede072fc9e77c00084d2c32,train,152238,Geostorm,3a07129c19d4,"In the film Geostorm , without permission Jack Lawson mistakenly insults software engineer Duncan Taylor and is cautioned by a Senate sub-committee .","After Dutch Boy neutralizes a typhoon in Shanghai , a Senate sub-committee reprimands chief architect Jake Lawson for insulting software engineer Duncan Taylor ( accidentally , but without authorization ) and replaces him with his brother Max , who works under Secretary of State Leonard Dekkom .","After Dutch Boy neutralizes a typhoon in Shanghai , a Senate sub-committee reprimands chief architect Jake Lawson because he brought „ Dutch Boy “ online ( without authorization ) and replaces him with his brother Max , who works under Secretary of State Leonard Dekkom ."
286,no,g24cfb_286,5ec5598ec9e77c000842c819,dev,11146,Filip Benković,101a4197efc6,Filip Benković plays for Leicester City .,Filip Benković ( born 13 July 1997 ) is a Croatian professional footballer who plays as a centre-back for Leicester City.,Filip Benković ( born 13 July 1997 ) is a Croatian professional footballer who plays as a centre-back for Celtic.
287,no,g24cfb_287,5ed4de08c9e77c000848a567,dev,26444,Tremaine Edmunds,e5730be1d056,Tremaine Edmund 's brother Trey plays for the New Orleans Saints .,Trey plays in the NFL for the New Orleans Saints and Terrell was also drafted in the 2018 NFL Draft in the first round by the Pittsburgh Steelers .,Trey plays in the NFL on the practice squad for the Pittsburgh Steelers and Terrell was also drafted in the 2018 NFL Draft in the first round by the Pittsburgh Steelers .
288,no,g24cfb_288,5ebe6f2fc9e77c0008407e0c,train,45185,Shannon Leto,63f606c695f1,Shannon Leto co-founded the group with his brother Jared .,"He co-founded the group in 1998 in Los Angeles , California , with his younger brother Jared .","He co-founded the group in 1998 with sharon jennings as a stand in drummer in Los Angeles , California , with his younger brother Jared ."
289,no,g24cfb_289,5eb9573bc9e77c0008fa1a4c,test,3491,England national football team manager,3ce87d08bc79,The England national football team managerial post has been held by 18 men .,"Eighteen men have occupied the post since its inception ; four of those were in short-term caretaker manager roles : Joe Mercer ( seven games in charge ) , Howard Wilkinson ( two games , a year apart from one another ) , Peter Taylor ( one game ) and Stuart Pearce ( one game ) .","Nineteen men have occupied the post since its inception ; four of those were in short-term caretaker manager roles : Joe Mercer ( seven games in charge ) , Howard Wilkinson ( two games , a year apart from one another ) , Peter Taylor ( one game ) and Stuart Pearce ( one game ) ."
